work_id,title,title_kana,notes,source_url,created_at,updated_at
W00001,微炭酸,,,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-25T07:31:25+00:00,2026-09-26T16:43:46+00:00
W00002,ポツリと,,,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-25T07:31:25+00:00,2026-09-26T16:43:46+00:00
W00003,Good bye & Good luck！,,,https://helloproject.com/release/detail/HKCN-50580/?pc=1,2026-09-25T07:31:25+00:00,2026-09-26T16:43:46+00:00
W00004,「ひとりで生きられそう」って それってねえ、褒めているの？,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00005,25歳永遠説,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00006,ポップミュージック,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00007,好きって言ってよ,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00008,Borderline,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00009,Va-Va-Voom,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00010,続いていくSTORY,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00011,DOWN TOWN,,ユーザー確認によりカバー作品として確定。原曲songは今回未登録。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00012,がんばれないよ,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00013,プラスティック・ラブ,,ユーザー確認によりカバー作品として確定。原曲songは今回未登録。,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00014,Familia,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00015,Future Smile,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00016,GIRLS BE AMBITIOUS!,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00017,POPPIN' LOVE,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00018,STAGE～アガッてみな～,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00019,Mon Amour,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00020,ノクチルカ,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00021,G.O.A.T.,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00022,雨の中の口笛,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00023,プラトニック・プラネット,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00024,生まれたてのBaby Love,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00025,CHOICE & CHANCE,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00026,Never Never Surrender,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
W00027,Goal～明日はあっちだよ～,,,https://helloproject.com/juicejuice/release/6692/,2026-09-25T07:31:25+00:00,2026-09-25T07:31:25+00:00
